,ID,ypred,
1,1,10.15033549,25599.68929
2,2,10.58942475,39712.63779
3,3,10.36411354,31701.31806
4,4,10.44921002,34517.09614
5,5,11.25735858,77447.73326
6,6,9.855988465,19072.22686
7,7,10.0260818,22608.5131
8,8,10.15549347,25732.0731
9,9,9.929469537,20526.44918
10,10,10.59009613,39739.30921
11,11,10.44055785,34219.73653
12,12,10.6042232,40304.69349
13,13,10.26934127,28834.88638
14,14,10.68353361,43631.45499
15,15,10.9016065,54263.46819
16,16,10.39801068,32794.32245
17,17,10.52772394,37336.3979
18,18,10.00855309,22215.66817
19,19,10.51579755,36893.75411
20,20,10.95216243,57077.33778
21,21,10.08811928,24055.50821
22,22,9.85580858,19068.79638
23,23,10.17223078,26166.38307
24,24,9.844133817,18847.46719
25,25,10.75639115,46929.00212
26,26,10.67456723,43241.98724
27,27,10.50150836,36370.32088
28,28,10.56691394,38828.66088
29,29,10.28537674,29300.99451
30,30,10.57493011,39141.1692
31,31,10.67027789,43056.90475
32,32,10.116358,24744.48714
33,33,10.81480536,49751.97089
34,34,10.11020621,24592.73138
35,35,10.86184627,52148.26894
36,36,10.36586588,31756.91823
37,37,10.63859646,41714.18256
38,38,10.29284905,29520.76071
39,39,10.71964674,45235.91985
40,40,10.47120714,35284.78526
41,41,9.876017221,19458.07093
42,42,10.63540171,41581.129
43,43,9.645405026,15450.62951
44,44,10.71837959,45178.63569
45,45,11.097732,66021.25387
46,46,10.03305671,22766.75661
47,47,10.43545669,34045.62083
48,48,10.46962685,35229.06929
49,49,10.38511726,32374.20556
50,50,10.7165052,45094.03248
51,51,9.911791243,20166.76523
52,52,10.88701777,53477.5797
53,53,10.11980059,24829.81891
54,54,10.27379802,28963.68304
55,55,10.31086364,30057.38417
56,56,10.82043514,50032.85361
57,57,9.885030959,19634.25373
58,58,11.24607241,76578.55937
59,59,10.47735237,35502.28605
60,60,10.09790633,24292.09658
61,61,10.97311816,58286.05542
62,62,10.35530497,31423.30123
63,63,10.25965147,28556.83165
64,64,10.46118848,34933.04398
65,65,9.941134785,20767.29734
66,66,10.25400957,28396.17052
67,67,10.26862451,28814.22634
68,68,10.8651302,52319.8019
69,69,9.973234629,21444.73907
70,70,10.55186002,38248.51515
71,71,10.19261562,26705.25437
72,72,10.03680793,22852.32022
73,73,10.89361161,53831.36739
74,74,9.869980582,19340.96341
75,75,10.68528381,43707.88546
76,76,10.68528381,43707.88546
77,77,9.830811894,18598.04775
78,78,10.00277551,22087.68535
